10/01/24:Kyle:Cedie, Adam, Paul, Kyle
10/02/24:EJ:Eric, Cy, Paul, EJ
10/03/24:Cedie:Luis, Paul, Wovi, Cedie
10/04/24:Kean:AJ, Kino, Jam, Kean
10/05/24:Akio:Adam, Cedie, Eric, Akio
10/06/24:Eric:Kean, Kyle, Adam, Eric
10/07/24:Kean:Earl, Nikko, JK, Kean
10/08/24:Luis:Kean, Jam, Eric, Luis
10/09/24:JL:Kino, EJ, Shane, JL
10/10/24:Tsen:Adam, Paul, Reigh, Tsen
10/11/24:Doms:Nikko, JL, Joshua, Doms
10/12/24:EJ:Cy, Earl, Reigh, EJ
10/13/24:JC:Cedie, AJ, Jam, JC
10/14/24:Cedie:Joseph, Vercil, Kyle, Cedie
10/15/24:EJ:Shane, Akio, Paul, EJ
10/16/24:JL:Kelmich, Cedie, Yohan, JL
10/17/24:Joseph:AJ, Kelmich, Faisal, Joseph
10/18/24:Shane:Kyle, Kino, Wovi, Shane
10/19/24:Tsen:Joshua, Kelmich, Earl, Tsen
10/20/24:Luis:AJ, Akio, JK, Luis
10/21/24:Eric:Reigh, JC, AJ, Eric
10/22/24:Tsen:Eric, Vercil, Cedie, Tsen
10/23/24:Joseph:EJ, Janwin, JK, Joseph
10/24/24:Shane:Joshua, Doms, Earl, Shane
10/25/24:JK:EJ, Nikko, Yohan, JK
10/26/24:JK:Kyle, AJ, Kino, JK
10/27/24:Kyle:Doms, Kean, Paul, Kyle
10/28/24:Eric:Doms, Janwin, Jam, Eric
10/29/24:EJ:Yohan, JK, Nikko, EJ
10/30/24:Kean:Eric, Luis, JC, Kean
10/31/24:Shane:Paul, Akio, Eric, Shane
10/31/24:JL:Paul, Akio, Eric, JL
11/02/24:JK:JM, JL, AJ
